Time(s),CH1(V)
-2.4638E-06,-2.049940E-01
-2.4636E-06,-2.392069E-01
-2.4634E-06,-2.563133E-01
-2.4632E-06,-2.593321E-01
-2.4630E-06,-2.608415E-01
-2.4628E-06,-2.719103E-01
-2.4626E-06,-2.940480E-01
-2.4624E-06,-3.136701E-01
-2.4622E-06,-3.046138E-01
-2.4620E-06,-2.412194E-01
-2.4618E-06,-1.149338E-01
-2.4616E-06,5.562731E-02
-2.4614E-06,2.261884E-01
-2.4612E-06,3.479459E-01
-2.4610E-06,3.851775E-01
-2.4608E-06,3.368770E-01
-2.4606E-06,2.317228E-01
-2.4604E-06,1.180154E-01
-2.4602E-06,3.952715E-02
-2.4600E-06,1.789256E-02
-2.4598E-06,4.908662E-02
-2.4596E-06,1.104685E-01
-2.4594E-06,1.778879E-01
-2.4592E-06,2.362510E-01
-2.4590E-06,2.840483E-01
-2.4588E-06,3.263113E-01
-2.4586E-06,3.635429E-01
-2.4584E-06,3.866869E-01
-2.4582E-06,3.771274E-01
-2.4580E-06,3.167518E-01
-2.4578E-06,2.010319E-01
-2.4576E-06,4.556471E-02
-2.4574E-06,-1.169463E-01
-2.4572E-06,-2.507789E-01
-2.4570E-06,-3.297703E-01
-2.4568E-06,-3.503986E-01
-2.4566E-06,-3.302734E-01
-2.4564E-06,-2.965637E-01
-2.4562E-06,-2.719103E-01
-2.4560E-06,-2.633571E-01
-2.4558E-06,-2.608415E-01
-2.4556E-06,-2.447413E-01
-2.4554E-06,-1.979502E-01
-2.4552E-06,-1.169463E-01
-2.4550E-06,-1.078585E-02
-2.4548E-06,1.014121E-01
-2.4546E-06,1.975100E-01
-2.4544E-06,2.619106E-01
-2.4542E-06,2.845515E-01
-2.4540E-06,2.649294E-01
-2.4538E-06,2.100882E-01
-2.4536E-06,1.336125E-01
-2.4534E-06,5.109914E-02
-2.4532E-06,-2.084845E-02
-2.4530E-06,-7.015520E-02
-2.4528E-06,-9.329917E-02
-2.4526E-06,-9.531169E-02
-2.4524E-06,-8.625536E-02
-2.4522E-06,-7.669588E-02
-2.4520E-06,-7.619275E-02
-2.4518E-06,-8.826787E-02
-2.4516E-06,-1.129212E-01
-2.4514E-06,-1.471341E-01
-2.4512E-06,-1.848688E-01
-2.4510E-06,-2.210942E-01
-2.4508E-06,-2.482632E-01
-2.4506E-06,-2.643634E-01
-2.4504E-06,-2.709041E-01
-2.4502E-06,-2.734197E-01
-2.4500E-06,-2.784510E-01
-2.4498E-06,-2.844886E-01
-2.4496E-06,-2.784510E-01
-2.4494E-06,-2.387038E-01
-2.4492E-06,-1.471341E-01
-2.4490E-06,-3.742030E-03
-2.4488E-06,1.653097E-01
-2.4486E-06,3.117205E-01
-2.4484E-06,3.856806E-01
-2.4482E-06,3.620335E-01
-2.4480E-06,2.568793E-01
-2.4478E-06,1.225436E-01
-2.4476E-06,2.543951E-02
-2.4474E-06,1.437065E-02
-2.4472E-06,9.436832E-02
-2.4470E-06,2.282009E-01
-2.4468E-06,3.570022E-01
-2.4466E-06,4.299560E-01
-2.4464E-06,4.309623E-01
-2.4462E-06,3.796431E-01
-2.4460E-06,3.152424E-01
-2.4458E-06,2.714701E-01
-2.4456E-06,2.563762E-01
-2.4454E-06,2.508418E-01
-2.4452E-06,2.231696E-01
-2.4450E-06,1.497126E-01
-2.4448E-06,2.996768E-02
-2.4446E-06,-1.139275E-01
-2.4444E-06,-2.462507E-01
-2.4442E-06,-3.368141E-01
-2.4440E-06,-3.730395E-01
-2.4438E-06,-3.604612E-01
-2.4436E-06,-3.171920E-01
-2.4434E-06,-2.613446E-01
-2.4432E-06,-2.029815E-01
-2.4430E-06,-1.405934E-01
-2.4428E-06,-7.116146E-02
-2.4426E-06,7.829961E-03
-2.4424E-06,9.034328E-02
-2.4422E-06,1.617877E-01
-2.4420E-06,2.075726E-01
-2.4418E-06,2.176352E-01
-2.4416E-06,1.924787E-01
-2.4414E-06,1.431719E-01
-2.4412E-06,8.430573E-02
-2.4410E-06,3.047081E-02
-2.4408E-06,-9.276460E-03
-2.4406E-06,-3.342670E-02
-2.4404E-06,-4.499869E-02
