LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,2502
Segment,TrigTime,TimeSinceSegment1
#1,24-Jun-2025 14:33:39,0                 
Time,Ampl
-2.501657e-006,-0.0003125
-2.499657e-006,-0.0003125
-2.497657e-006,-0.000208333
-2.495657e-006,-0.0003125
-2.493657e-006,-0.000208333
-2.491657e-006,-0.0003125
-2.489657e-006,-0.0003125
-2.487657e-006,-0.000208333
-2.485657e-006,-0.0003125
-2.483657e-006,-0.000208333
-2.481657e-006,-0.000104167
-2.479657e-006,-0.000416667
-2.477657e-006,-0.000208333
-2.475657e-006,-0.000208333
-2.473657e-006,-0.000208333
-2.471657e-006,-0.000208333
-2.469657e-006,-0.000208333
-2.467657e-006,-0.000416667
-2.465657e-006,-0.000208333
-2.463657e-006,-0.0003125
-2.461657e-006,-0.000208333
-2.459657e-006,-0.000208333
-2.457657e-006,-0.000208333
-2.455657e-006,-0.000208333
-2.453657e-006,-0.000208333
-2.451657e-006,-0.000416667
-2.449657e-006,-0.000208333
-2.447657e-006,-0.000208333
-2.445657e-006,-0.000208333
-2.443657e-006,-0.000520833
-2.441657e-006,-0.0003125
-2.439657e-006,-0.000416667
-2.437657e-006,-0.000416667
-2.435657e-006,-0.0003125
-2.433657e-006,-0.000208333
-2.431657e-006,-0.000208333
-2.429657e-006,-0.0003125
-2.427657e-006,-0.000416667
-2.425657e-006,-0.000416667
-2.423657e-006,-0.0003125
-2.421657e-006,-0.000208333
-2.419657e-006,-0.0003125
-2.417657e-006,-0.000208333
-2.415657e-006,-0.000208333
-2.413657e-006,-0.0003125
-2.411657e-006,-0.000416667
-2.409657e-006,-0.000208333
-2.407657e-006,-0.000416667
-2.405657e-006,-0.0003125
-2.403657e-006,-0.000520833
-2.401657e-006,-0.000208333
-2.399657e-006,-0.000416667
-2.397657e-006,-0.000104167
-2.395657e-006,-0.000208333
-2.393657e-006,-0.000208333
-2.391657e-006,-0.000208333
-2.389657e-006,-0.000208333
-2.387657e-006,-0.000416667
-2.385657e-006,-0.000104167
-2.383657e-006,-0.0003125
-2.381657e-006,-0.0003125
-2.379657e-006,-0.000520833
-2.377657e-006,-0.000520833
-2.375657e-006,-0.000416667
-2.373657e-006,-0.000208333
-2.371657e-006,-0.000520833
-2.369657e-006,-0.000520833
-2.367657e-006,-0.000625
-2.365657e-006,-0.000520833
-2.363657e-006,-0.000625
-2.361657e-006,-0.000625
-2.359657e-006,-0.000520833
-2.357657e-006,-0.0003125
-2.355657e-006,-0.000520833
-2.353657e-006,-0.000416667
-2.351657e-006,-0.000520833
-2.349657e-006,-0.000416667
-2.347657e-006,-0.000416667
-2.345657e-006,-0.0003125
-2.343657e-006,-0.0003125
-2.341657e-006,-0.000208333
-2.339657e-006,-0.0003125
-2.337657e-006,-0.000416667
-2.335657e-006,-0.0003125
-2.333657e-006,-0.0003125
-2.331657e-006,-0.000625
-2.329657e-006,-0.000416667
-2.327657e-006,-0.000416667
-2.325657e-006,-0.000208333
-2.323657e-006,-0.000416667
-2.321657e-006,-0.000104167
-2.319657e-006,-0.000416667
-2.317657e-006,-0.0003125
-2.315657e-006,-0.000625
-2.313657e-006,-0.000416667
-2.311657e-006,-0.000416667
-2.309657e-006,-0.000208333
-2.307657e-006,-0.000520833
-2.305657e-006,-0.000625
-2.303657e-006,-0.000729167
-2.301657e-006,-0.000729167
-2.299657e-006,-0.0009375
-2.297657e-006,-0.000729167
-2.295657e-006,-0.000729167
-2.293657e-006,-0.000625
-2.291657e-006,-0.0009375
-2.289657e-006,-0.000729167
-2.287657e-006,-0.000833333
-2.285657e-006,-0.000625
-2.283657e-006,-0.000729167
-2.281657e-006,-0.000520833
-2.279657e-006,-0.000520833
-2.277657e-006,-0.000520833
-2.275657e-006,-0.000625
-2.273657e-006,-0.000729167
-2.271657e-006,-0.000625
-2.269657e-006,-0.000520833
-2.267657e-006,-0.000729167
-2.265657e-006,-0.000625
-2.263657e-006,-0.000833333
-2.261657e-006,-0.000625
-2.259657e-006,-0.000833333
-2.257657e-006,-0.000520833
-2.255657e-006,-0.000729167
-2.253657e-006,-0.000520833
-2.251657e-006,-0.000729167
-2.249657e-006,-0.000625
-2.247657e-006,-0.000625
-2.245657e-006,-0.000625
-2.243657e-006,-0.00104167
-2.241657e-006,-0.000833333
-2.239657e-006,-0.000729167
-2.237657e-006,-0.000625
-2.235657e-006,-0.00104167
-2.233657e-006,-0.000729167
-2.231657e-006,-0.000833333
-2.229657e-006,-0.000833333
-2.227657e-006,-0.00104167
-2.225657e-006,-0.00104167
-2.223657e-006,-0.000833333
-2.221657e-006,-0.000833333
-2.219657e-006,-0.00114583
-2.217657e-006,-0.000833333
-2.215657e-006,-0.000833333
-2.213657e-006,-0.000833333
-2.211657e-006,-0.00104167
-2.209657e-006,-0.000833333
-2.207657e-006,-0.000833333
-2.205657e-006,-0.000729167
-2.203657e-006,-0.00104167
-2.201657e-006,-0.000833333
-2.199657e-006,-0.000833333
-2.197657e-006,-0.000833333
-2.195657e-006,-0.00114583
-2.193657e-006,-0.00104167
-2.191657e-006,-0.0009375
-2.189657e-006,-0.00114583
-2.187657e-006,-0.00135417
