Time(s),CH1(V)
1.4100E-06,-1.535175E-01
1.4101E-06,-1.374174E-01
1.4102E-06,-1.454675E-01
1.4103E-06,-1.454675E-01
1.4104E-06,-1.213172E-01
1.4105E-06,-8.106682E-02
1.4106E-06,-4.886650E-02
1.4107E-06,-8.616102E-03
1.4108E-06,2.358422E-02
1.4109E-06,2.358422E-02
1.4110E-06,7.484059E-03
1.4111E-06,-4.081642E-02
1.4112E-06,-1.052171E-01
1.4113E-06,-1.454675E-01
1.4114E-06,-1.374174E-01
1.4115E-06,-8.911691E-02
1.4116E-06,-8.616102E-03
1.4117E-06,7.993478E-02
1.4118E-06,1.282353E-01
1.4119E-06,1.443354E-01
1.4120E-06,1.201852E-01
1.4121E-06,7.188470E-02
1.4122E-06,-5.660213E-04
1.4123E-06,-5.691658E-02
1.4124E-06,-7.301675E-02
1.4125E-06,-4.886650E-02
1.4126E-06,-8.616102E-03
1.4127E-06,6.383462E-02
1.4128E-06,1.362853E-01
1.4129E-06,1.845858E-01
1.4130E-06,1.845858E-01
1.4131E-06,1.604356E-01
1.4132E-06,1.121351E-01
1.4133E-06,4.773446E-02
1.4134E-06,-4.081642E-02
1.4135E-06,-1.454675E-01
1.4136E-06,-2.259683E-01
1.4137E-06,-2.501185E-01
1.4138E-06,-2.340184E-01
1.4139E-06,-1.937679E-01
1.4140E-06,-1.213172E-01
1.4141E-06,-5.660213E-04
1.4142E-06,1.362853E-01
1.4143E-06,2.489865E-01
1.4144E-06,3.455874E-01
1.4145E-06,3.938879E-01
1.4146E-06,4.099881E-01
1.4147E-06,4.099881E-01
1.4148E-06,4.260882E-01
1.4149E-06,4.260882E-01
1.4150E-06,4.099881E-01
1.4151E-06,3.858378E-01
1.4152E-06,3.536375E-01
1.4153E-06,3.053370E-01
1.4154E-06,2.650866E-01
1.4155E-06,2.248362E-01
1.4156E-06,2.087361E-01
1.4157E-06,1.926359E-01
1.4158E-06,1.443354E-01
1.4159E-06,8.798486E-02
1.4160E-06,3.163430E-02
1.4161E-06,-1.666618E-02
1.4162E-06,-6.496666E-02
1.4163E-06,-1.132671E-01
1.4164E-06,-1.535175E-01
1.4165E-06,-1.937679E-01
1.4166E-06,-2.259683E-01
1.4167E-06,-2.581686E-01
1.4168E-06,-2.581686E-01
1.4169E-06,-2.340184E-01
1.4170E-06,-2.098681E-01
1.4171E-06,-1.937679E-01
1.4172E-06,-1.615676E-01
1.4173E-06,-1.696177E-01
1.4174E-06,-2.018180E-01
1.4175E-06,-2.179182E-01
1.4176E-06,-2.420684E-01
1.4177E-06,-2.581686E-01
1.4178E-06,-2.742687E-01
1.4179E-06,-2.903689E-01
1.4180E-06,-2.984190E-01
1.4181E-06,-2.903689E-01
1.4182E-06,-2.823188E-01
1.4183E-06,-2.501185E-01
1.4184E-06,-1.937679E-01
1.4185E-06,-1.132671E-01
1.4186E-06,-2.471626E-02
1.4187E-06,4.773446E-02
1.4188E-06,1.121351E-01
1.4189E-06,1.604356E-01
1.4190E-06,1.926359E-01
1.4191E-06,2.006860E-01
1.4192E-06,1.845858E-01
1.4193E-06,1.443354E-01
1.4194E-06,7.188470E-02
1.4195E-06,7.484059E-03
1.4196E-06,-4.081642E-02
1.4197E-06,-6.496666E-02
1.4198E-06,-8.106682E-02
1.4199E-06,-8.106682E-02
1.4200E-06,-6.496666E-02
1.4201E-06,-2.471626E-02
1.4202E-06,2.358422E-02
1.4203E-06,3.163430E-02
1.4204E-06,3.163430E-02
1.4205E-06,3.968438E-02
1.4206E-06,3.968438E-02
1.4207E-06,2.358422E-02
1.4208E-06,-5.660213E-04
1.4209E-06,-4.081642E-02
1.4210E-06,-8.911691E-02
1.4211E-06,-1.535175E-01
1.4212E-06,-1.937679E-01
1.4213E-06,-2.259683E-01
1.4214E-06,-2.581686E-01
